,return,equity,gross,net,beta_exposure,turnover,fees,spread,impact,funding,gross_pnl,pnl_long,pnl_short,n_positions,stops,ic_est
2023-07-31 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-01 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.24939e-05
2023-08-02 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-03 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-04 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00152153
2023-08-06 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19784e-05
2023-08-07 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-08 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-09 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-10 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-11 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-12 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-13 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-14 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-15 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-16 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-17 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-18 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-19 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-20 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-21 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-22 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-23 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-24 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-25 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-26 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.68204e-06
2023-08-27 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00265747
2023-08-28 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000691174
2023-08-29 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-30 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-31 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-01 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00170009
2023-09-02 00:00:00+00:00,-0.000264513,0.999735,0.00681444,-0.000621262,-0.000579032,0.0163684,5.23784e-06,6.5473e-07,6.15055e-07,-6.96775e-07,-0.000257324,-5.07318e-05,-0.000206592,1.25,0,0.00787988
