,book,nl,book_gross
2023-07-31,0.0,-0.0011745022429452,0.0
2023-08-01,0.0,0.0,0.0
2023-08-02,0.0,0.0,0.0
2023-08-03,-1.3531e-06,0.0,1.69998e-05
2023-08-04,5.52808e-05,0.0,0.00616113
2023-08-05,-0.00059107,0.0,0.0862066
2023-08-06,9.35512e-05,0.0,0.0741307
2023-08-07,-0.000177857,0.0,0.0682802
2023-08-08,-0.000366054,0.0,0.0636271
2023-08-09,-0.000392668,0.0,0.0594473
2023-08-10,0.000325088,0.0,0.0583602
2023-08-11,-7.07717e-05,0.0,0.0579973
2023-08-12,-0.000186089,0.0,0.0575666
2023-08-13,0.000152157,0.0,0.0573717
2023-08-14,-7.63042e-05,0.0,0.0482955
2023-08-15,0.000402973,0.0,0.0468967
2023-08-16,2.01307e-05,0.0,0.045159
2023-08-17,0.000366648,0.0,0.0418643
2023-08-18,4.22017e-05,0.0,0.0291826
2023-08-19,-9.61448e-07,0.0,0.029646
2023-08-20,-0.000246754,0.0,0.0301418
2023-08-21,6.46354e-05,0.0,0.0240239
2023-08-22,-5.67305e-05,0.0,0.0238374
2023-08-23,-5.75737e-05,0.0,0.0236152
2023-08-24,0.000168815,0.0,0.02361
2023-08-25,-0.000198259,0.0,0.021577
2023-08-26,0.000178706,0.0,0.0206714
2023-08-27,0.000142738,0.0,0.0204383
2023-08-28,-0.000198502,0.0,0.017347
2023-08-29,-0.000112574,0.0,0.0189956
2023-08-30,3.2353e-05,0.0,0.0226053
2023-08-31,0.000426746,0.0,0.0248145
2023-09-01,0.000252587,0.0,0.0358255
2023-09-02,-0.000622452,0.0,0.0804033
2023-09-03,0.000212022,0.0,0.10364
2023-09-04,0.000823245,0.0,0.119339
2023-09-05,-0.000554699,0.0,0.141959
2023-09-06,0.000720236,0.0,0.149863
2023-09-07,0.00224314,0.0,0.184067
2023-09-08,0.000157429,0.0,0.215174
2023-09-09,0.000206036,0.0,0.232672
2023-09-10,0.00526011,0.0,0.226079
2023-09-11,-0.000184246,0.0,0.254859
2023-09-12,0.00256667,0.0,0.267355
2023-09-13,0.00148965,0.0,0.250986
2023-09-14,0.00524807,0.0,0.279418
2023-09-15,0.00895787,0.0,0.364081
2023-09-16,0.0014663,0.0,0.485393
2023-09-17,-0.00739454,0.0,0.607383
2023-09-18,0.000244089,0.0,0.727432
2023-09-19,0.00820487,0.0,0.782819
2023-09-20,0.00723223,0.0,0.883478
2023-09-21,-0.00547561,0.0,1.01767
2023-09-22,-0.0183957,0.0,1.1032
2023-09-23,0.00163754,0.0,1.05277
2023-09-24,0.00211721,0.0,1.09485
2023-09-25,0.00708228,0.0,1.12435
2023-09-26,0.00607198,0.0,1.14514
2023-09-27,0.00953093,0.0,1.13957
2023-09-28,-0.0074387,0.0,1.14072
2023-09-29,-0.00939636,0.0,1.00982
2023-09-30,0.0034969,0.0,0.874683
2023-10-01,-0.0193727,0.0,0.98287
2023-10-02,0.00178188,0.0,1.00021
2023-10-03,-0.00272573,0.0,0.964211
2023-10-04,-0.00359459,0.0,0.955219
2023-10-05,0.003879,0.0,0.91881
2023-10-06,-0.00347161,0.0,0.9369
2023-10-07,0.00102222,0.0,0.914525
2023-10-08,-0.00177487,0.0,0.881065
2023-10-09,0.00271438,0.0,0.79553
2023-10-10,-0.00346403,0.0,0.760927
2023-10-11,-0.00599442,0.0,0.739191
2023-10-12,-0.00129039,0.0,0.690061
2023-10-13,-7.83016e-05,0.0,0.636788
2023-10-14,-0.00134701,0.0,0.614708
2023-10-15,-0.0028202,0.003561801827735,0.599429
2023-10-16,-0.00108989,0.006374235424013,0.497682
2023-10-17,-0.000226736,0.0162537580285648,0.467323
2023-10-18,-0.000859126,0.0095884763624041,0.4505
2023-10-19,0.0029204,0.004519334513378,0.461043
2023-10-20,7.22136e-05,0.0004138343128701,0.447136
2023-10-21,0.00141541,-0.0045990595342734,0.438705
2023-10-22,-0.000274287,-0.0082391116015116,0.434522
2023-10-23,0.00295675,0.0160470140446098,0.405964
2023-10-24,-0.00171822,0.0262530884678944,0.357233
2023-10-25,0.00195185,0.0083272380215979,0.31539
2023-10-26,0.00131832,0.0077352135607045,0.23954
2023-10-27,-0.00174111,0.0057014418014635,0.228112
2023-10-28,-0.00128386,0.0,0.219166
2023-10-29,0.000145693,0.0,0.205496
2023-10-30,0.00277161,0.0,0.193789
2023-10-31,0.000167524,0.0,0.171766
2023-11-01,0.000499051,0.0,0.158116
2023-11-02,0.000921923,0.0,0.150931
2023-11-03,-0.000115293,-0.0009156094982323,0.133332
2023-11-04,-0.00113058,-0.0010659879125786,0.14003
2023-11-05,0.0010628,0.0099925000614122,0.14499
2023-11-06,0.00101031,-0.0097639903359618,0.155076
2023-11-07,-0.00191924,0.0358144664474326,0.179995
2023-11-08,-0.00146526,-0.0018365666376454,0.170907
2023-11-09,-0.00114657,-0.004933912226559,0.121728
2023-11-10,-0.00175246,-0.0046659523827706,0.0959686
2023-11-11,-0.00032819,0.004775121995959,0.08422
2023-11-12,0.00133906,-0.0155231417206928,0.0787329
2023-11-13,-0.000542086,0.0089596670806539,0.0629629
2023-11-14,7.27279e-05,-0.0033501949429114,0.0566718
2023-11-15,-0.000189161,0.0,0.0571516
2023-11-16,0.00027074,0.0,0.0557844
2023-11-17,-0.000631106,0.0,0.0526736
2023-11-18,0.000410667,0.0,0.051975
2023-11-19,-0.000151133,0.0,0.0526975
2023-11-20,-0.000376416,0.0,0.0538999
2023-11-21,-8.07446e-05,0.0,0.0524591
2023-11-22,4.16679e-05,0.0,0.0523964
2023-11-23,6.83404e-05,0.0,0.0551109
2023-11-24,-0.000495415,0.0,0.0556612
2023-11-25,-0.00035961,-0.0055489054126395,0.0538669
2023-11-26,-0.000193746,0.0192725898074253,0.0534401
2023-11-27,-1.00845e-05,0.0097849455585998,0.0500204
2023-11-28,5.35843e-05,0.0008426166398676,0.0499762
2023-11-29,6.12753e-05,0.0049108186083377,0.0502392
2023-11-30,0.000163233,0.0,0.0499247
2023-12-01,-6.92636e-05,0.0016924602921004,0.0508155
2023-12-02,0.000488712,-0.0058218237173229,0.0516646
2023-12-03,-0.000282444,-0.0242070256211265,0.0522432
2023-12-04,-0.000305932,0.0272750756297677,0.0430625
2023-12-05,-0.000535851,0.0010972065264849,0.0350568
2023-12-06,-0.000168681,0.0,0.0371436
2023-12-07,0.00020018,0.0,0.0390551
2023-12-08,0.000190103,0.0,0.0416956
2023-12-09,0.000392594,0.0,0.0425133
2023-12-10,0.000414804,0.0,0.0475176
2023-12-11,-0.000375977,0.0,0.0497743
2023-12-12,-0.000120231,0.0,0.0518883
2023-12-13,0.000749107,0.0,0.0474336
2023-12-14,-0.000170381,0.0,0.0475337
2023-12-15,-0.000282063,0.0,0.0468993
2023-12-16,-0.000908535,0.0,0.044967
2023-12-17,-0.000313367,0.0,0.0422924
2023-12-18,0.000457191,0.0,0.0365964
2023-12-19,-0.00020322,0.0,0.0441164
2023-12-20,-2.41298e-05,0.0,0.0463556
2023-12-21,-0.000118954,0.0139220944206843,0.0489322
2023-12-22,0.000612191,0.0177213097642536,0.0495486
2023-12-23,0.000241732,-0.0011194565669456,0.0469514
2023-12-24,-3.08873e-05,0.0030320033312207,0.0541464
2023-12-25,0.000275067,-0.003215913589168,0.0550161
2023-12-26,0.000691361,0.0,0.0543404
2023-12-27,0.000776241,0.0,0.0710284
2023-12-28,0.00188069,0.0,0.115521
2023-12-29,0.00257181,0.0,0.168359
2023-12-30,0.0025066,0.0,0.211709
2023-12-31,0.00975005,0.0,0.24979
2024-01-01,-0.000518357,0.0,0.313936
2024-01-02,0.000778463,0.0,0.325435
2024-01-03,0.00392489,0.0,0.29557
2024-01-04,0.00904354,0.0,0.400413
2024-01-05,-0.00158843,0.0,0.565752
2024-01-06,0.000709543,0.0,0.623389
2024-01-07,0.00456745,0.0,0.669945
2024-01-08,0.00321286,0.0,0.670582
2024-01-09,0.00258939,0.0,0.661502
2024-01-10,-0.00861481,0.0,0.752305
2024-01-11,0.00740885,0.0,0.785797
2024-01-12,0.00980548,0.0,0.746225
2024-01-13,-0.00272464,0.0,0.791917
2024-01-14,-0.00207152,0.0,0.837121
2024-01-15,-0.00837749,0.0,0.893669
2024-01-16,0.00665773,0.0,0.911978
2024-01-17,-0.00776701,0.0,0.818141
2024-01-18,0.00449672,0.0,0.750775
2024-01-19,0.00144986,0.0,0.787873
2024-01-20,-0.00756164,0.0,0.931054
2024-01-21,0.00110802,0.0,0.828981
2024-01-22,-0.0030516,0.0,0.773199
2024-01-23,-0.0046503,0.0,0.742465
2024-01-24,-0.00208992,0.0,0.725926
2024-01-25,0.000497023,0.0,0.658224
2024-01-26,-0.00356599,0.0,0.583324
2024-01-27,0.00103872,0.0,0.52092
2024-01-28,0.00151757,0.0,0.463333
2024-01-29,-0.00271636,0.0,0.42984
2024-01-30,-0.00138514,0.0,0.393588
2024-01-31,-0.000474186,0.0,0.330323
2024-02-01,0.000657915,0.0,0.322187
2024-02-02,0.00164471,0.0,0.339703
2024-02-03,-0.000825979,0.0031428421798136,0.353433
2024-02-04,0.00329683,0.0102140346357573,0.340532
2024-02-05,-0.00143538,0.0169871998107462,0.34233
2024-02-06,-0.000607646,0.0191445897283675,0.354328
2024-02-07,0.00106265,-0.0136186045163134,0.359655
2024-02-08,0.000404086,0.0131169396531825,0.372156
2024-02-09,-0.00385772,0.0030564334518747,0.39608
2024-02-10,0.00228679,0.0,0.39469
2024-02-11,-0.000918218,0.0,0.407544
2024-02-12,-0.00461321,0.0,0.376057
2024-02-13,0.000928832,0.0,0.362437
2024-02-14,-0.000967581,0.0,0.346164
2024-02-15,0.000523078,0.0,0.303261
2024-02-16,-0.00290994,0.0,0.283975
2024-02-17,-0.00113278,0.0,0.276078
2024-02-18,0.000970137,0.0,0.269718
